protein_ref,symbol,annotation,number_of_ubiquitination_sites,4x_Btz_rep1-4 Sp. Counts,Btz_Epox Sp. Counts,Usp2cc Sp. Counts,Btz_timepoints Sp. Counts,Btz_CHX Sp. Counts,SILAC_Chase_GG Sp. Counts,MLN_timepoints Sp. Counts,Btz_MLN_1st Sp. Counts,Btz_MLN_2nd Sp. Counts,CST_GG_PullDowns Sp. Counts
IPI:IPI00003964.4,USP9X,"ubiquitin specific protease 9, X-linked isoform 4",3,13,5,7,13,16,5,27,10,3,0
IPI:IPI00003965.5,USP7,Ubiquitin carboxyl-terminal hydrolase 7,9,47,23,7,26,47,13,46,22,6,0
IPI:IPI00003968.1,NDUFA9,"NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 9, mitochondrial",2,2,1,0,0,1,11,0,1,0,0
IPI:IPI00003985.1,BCS1L,Mitochondrial chaperone BCS1,2,6,2,0,3,5,5,0,1,0,0
IPI:IPI00004015.1,RUNX3,Isoform 1 of Runt-related transcription factor 3,1,0,0,0,0,0,0,0,0,0,1
IPI:IPI00004047.1,EXT2,Isoform 1 of Exostosin-2,8,71,40,5,36,36,8,0,51,52,0
IPI:IPI00004092.2,ATP2A3,Isoform SERCA3B of Sarcoplasmic/endoplasmic reticulum calcium ATPase 3,3,16,3,3,3,2,0,0,2,8,0
IPI:IPI00004233.2,MKI67,Isoform Long of Antigen KI-67,29,36,54,3,6,88,63,12,85,8,0
IPI:IPI00004247.2,PHKA1,"Isoform 1 of Phosphorylase b kinase regulatory subunit alpha, skeletal muscle isoform",2,0,0,0,0,0,0,0,0,0,14
IPI:IPI00004290.3,C1orf107,Digestive organ expansion factor homolog,1,0,1,0,0,0,2,0,0,0,0
IPI:IPI00004312.1,STAT2,Isoform Long of Signal transducer and activator of transcription 2,1,6,6,0,0,4,3,0,2,1,0
IPI:IPI00004317.1,POLG,DNA polymerase subunit gamma-1,3,6,7,2,1,1,0,0,1,0,0
IPI:IPI00004324.1,TRAPPC3,Trafficking protein particle complex subunit 3,2,22,14,4,1,24,4,0,13,0,0
IPI:IPI00004325.1,TAF5L,Isoform 1 of TAF5-like RNA polymerase II p300/CBP-associated factor-associated factor 65 kDa subunit 5L,1,1,0,0,0,2,0,0,0,0,0
IPI:IPI00004337.2,ZBTB11,Zinc finger and BTB domain-containing protein 11,1,0,1,0,0,1,0,0,0,0,0
IPI:IPI00004341.8,FBXL17,Isoform 1 of F-box/LRR-repeat protein 17,1,0,0,1,0,0,0,0,0,0,0
IPI:IPI00004344.1,AFF4,Isoform 1 of AF4/FMR2 family member 4,1,1,1,0,0,1,0,0,1,0,0
IPI:IPI00004353.1,GTF2A2,Transcription initiation factor IIA subunit 2,1,7,2,0,0,5,2,0,2,0,4
IPI:IPI00004358.4,PYGB,"Glycogen phosphorylase, brain form",11,60,31,3,13,49,5,0,45,29,0
IPI:IPI00004363.1,STK39,STE20/SPS1-related proline-alanine-rich protein kinase,1,0,0,0,0,1,0,0,0,0,0
IPI:IPI00004367.3,FXYD6,FXYD domain-containing ion transport regulator 6,1,0,0,0,0,0,2,2,2,0,0
IPI:IPI00004389.3,TUBGCP4,Gamma-tubulin complex component 4,2,55,21,0,19,15,10,0,9,18,0
IPI:IPI00004390.3,DUSP6,Isoform 1 of Dual specificity protein phosphatase 6,3,2,0,0,0,10,0,0,4,6,0
IPI:IPI00004392.2,NUDT1,"Isoform p26 of 7,8-dihydro-8-oxoguanine triphosphatase",1,1,0,0,0,4,2,0,2,0,0
IPI:IPI00004406.1,UPP1,Isoform 1 of Uridine phosphorylase 1,1,0,1,0,0,0,0,0,0,0,0
IPI:IPI00004416.1,CHMP2A,Charged multivesicular body protein 2a,2,0,0,0,0,1,0,0,0,0,6
IPI:IPI00004459.1,DIMT1L,Probable dimethyladenosine transferase,3,5,0,0,1,4,1,0,2,4,0
IPI:IPI00004461.2,DGUOK,"Isoform 1 of Deoxyguanosine kinase, mitochondrial",3,22,20,2,12,13,0,0,12,0,0
IPI:IPI00004477.1,CRCP,Isoform 1 of DNA-directed RNA polymerase III subunit RPC9,1,1,0,0,0,0,0,0,0,0,0
IPI:IPI00004488.2,ATP6V1F,V-type proton ATPase subunit F,2,51,55,5,12,27,2,0,30,8,0
IPI:IPI00004489.1,MOCS3,Adenylyltransferase and sulfurtransferase MOCS3,3,8,0,0,0,0,0,0,0,1,0
IPI:IPI00004497.2,BCR,Isoform 1 of Breakpoint cluster region protein,1,0,0,0,0,0,0,0,0,0,2
IPI:IPI00004506.3,KCTD5,BTB/POZ domain-containing protein KCTD5,2,18,25,0,0,29,14,6,11,0,0
IPI:IPI00004511.3,PFKFB3,"Isoform 1 of 6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 3",4,4,5,2,0,1,3,5,4,0,3
IPI:IPI00004534.4,PFAS,Phosphoribosylformylglycinamidine synthase,7,13,7,0,2,8,0,0,6,9,0
IPI:IPI00004581.6,ELF3,Isoform 1 of ETS-related transcription factor Elf-3,7,6,11,0,0,18,2,0,13,4,0
IPI:IPI00004657.1,HLA-B;HLA-C,"HLA class I histocompatibility antigen, B-7 alpha chain",6,28,16,6,12,12,6,0,22,30,21
IPI:IPI00004669.1,GALNT2,Polypeptide N-acetylgalactosaminyltransferase 2,1,0,0,0,0,0,0,0,0,3,0
IPI:IPI00004672.4,HLA-H,"Putative HLA class I histocompatibility antigen, alpha chain H",4,133,76,31,59,87,42,0,101,78,51
IPI:IPI00004712.1,HUS1,Checkpoint protein HUS1,1,0,0,0,0,1,0,0,0,0,0
IPI:IPI00004758.5,LDLRAP1,Low density lipoprotein receptor adapter protein 1,1,0,0,0,0,0,0,0,0,0,1
IPI:IPI00004795.1,CLNS1A,Methylosome subunit pICln,2,3,0,0,0,0,2,0,0,0,0
IPI:IPI00004833.3,TMEM18,Isoform 1 of Transmembrane protein 18,1,0,1,0,0,0,0,0,0,0,0
IPI:IPI00004860.2,RARS,"Isoform Complexed of Arginyl-tRNA synthetase, cytoplasmic",8,99,77,5,73,98,33,38,59,41,1
IPI:IPI00004901.5,GPRC5C,"cDNA FLJ20242 fis, clone COLF6369",1,0,0,0,0,0,2,6,6,0,0
IPI:IPI00004942.1,ZNF330,Zinc finger protein 330,1,28,10,0,13,15,25,0,12,8,0
IPI:IPI00004944.3,SLC4A10,Isoform 1 of Sodium-driven chloride bicarbonate exchanger,1,13,5,0,2,1,0,0,7,0,0
IPI:IPI00004968.1,PRPF19,Pre-mRNA-processing factor 19,2,2,0,0,0,0,0,0,0,0,0
IPI:IPI00004971.3,EGLN3,Egl nine homolog 3,1,20,16,0,0,9,0,0,9,0,0
IPI:IPI00004974.2,RABGEF1,"cDNA FLJ55772, highly similar to Rab5 GDP/GTP exchange factor",9,243,167,49,249,219,101,275,220,135,12
IPI:IPI00005011.1,CNOT2,Isoform 1 of CCR4-NOT transcription complex subunit 2,1,2,0,0,0,0,0,0,0,0,0
IPI:IPI00005014.2,PIM1,Isoform 1 of Proto-oncogene serine/threonine-protein kinase Pim-1,3,26,13,0,20,6,9,0,18,36,4
IPI:IPI00005024.3,MYBBP1A,Isoform 1 of Myb-binding protein 1A,2,0,0,0,0,0,0,0,0,0,2
IPI:IPI00005028.1,ASCC3,activating signal cointegrator 1 complex subunit 3 isoform b,2,22,15,1,4,14,10,0,19,14,2
IPI:IPI00005030.5,SH3BP4,Isoform 1 of SH3 domain-binding protein 4,2,0,0,0,0,0,2,0,0,0,0
IPI:IPI00005045.1,ABCF2,ATP-binding cassette sub-family F member 2,9,25,11,0,0,13,2,3,9,0,3
IPI:IPI00005084.4,ASNSD1,Asparagine synthetase domain-containing protein 1,1,1,1,0,0,1,0,0,1,0,0
IPI:IPI00005087.1,TMOD3,Tropomodulin-3,2,3,0,0,4,5,0,0,0,0,0
IPI:IPI00005094.2,FAM35A,Isoform 1 of Protein FAM35A,1,0,0,0,0,8,0,0,2,0,0
IPI:IPI00005102.3,SMS,Isoform 1 of Spermine synthase,3,18,17,3,2,15,4,12,14,11,0
IPI:IPI00005104.1,CHUK,Inhibitor of nuclear factor kappa-B kinase subunit alpha,1,3,4,0,0,6,0,0,3,0,0
IPI:IPI00005107.2,NPC1,Niemann-Pick C1 protein,5,27,22,2,4,14,4,0,13,12,1
IPI:IPI00005126.1,EFNB2,Ephrin-B2,1,16,0,0,27,0,0,18,9,3,0
IPI:IPI00005129.8,SCAMP1,Isoform 1 of Secretory carrier-associated membrane protein 1,7,168,130,9,139,222,45,316,217,48,4
IPI:IPI00005132.3,GNL3L,Guanine nucleotide-binding protein-like 3-like protein,4,3,1,0,1,7,0,0,3,0,0
IPI:IPI00005137.2,HEYL,Hairy/enhancer-of-split related with YRPW motif-like protein,1,0,0,0,0,0,0,0,0,1,0
IPI:IPI00005146.2,KIAA0430,Isoform 2 of Limkain-b1,1,0,0,0,0,0,0,0,1,0,0
IPI:IPI00005154.1,SSRP1,FACT complex subunit SSRP1,4,4,2,0,0,11,4,12,7,0,0
IPI:IPI00005159.3,ACTR2,Actin-related protein 2,13,495,311,55,219,281,59,128,255,132,6
IPI:IPI00005160.3,ARPC1B,Actin-related protein 2/3 complex subunit 1B,1,2,2,1,0,5,2,0,5,0,0
IPI:IPI00005161.3,ARPC2,Actin-related protein 2/3 complex subunit 2,5,23,15,3,3,9,10,0,7,4,0
IPI:IPI00005162.3,ARPC3,Actin-related protein 2/3 complex subunit 3,2,0,0,0,0,0,0,0,0,0,4
IPI:IPI00005163.3,ARL15,ADP-ribosylation factor-like protein 15,1,0,0,0,0,1,0,3,0,0,0
IPI:IPI00005171.1,HLA-DRA,"HLA class II histocompatibility antigen, DR alpha chain",4,0,0,0,0,0,0,0,0,0,13
IPI:IPI00005179.1,POLR1C,Isoform 1 of DNA-directed RNA polymerases I and III subunit RPAC1,4,12,1,2,0,9,2,0,8,0,0
IPI:IPI00005181.1,PLSCR1,Phospholipid scramblase 1,1,0,0,0,0,0,3,0,0,0,0
IPI:IPI00005184.1,TRIM24,Isoform Long of Transcription intermediary factor 1-alpha,1,0,0,0,0,0,0,0,1,0,0
IPI:IPI00005186.4,LOC100133583,"similar to major histocompatibility complex, class II, DQ beta 1 isoform 2",1,0,0,0,0,0,0,0,0,0,3
IPI:IPI00005194.1,UBFD1,Ubiquitin domain-containing protein UBFD1,7,43,5,6,58,64,21,80,31,15,7
IPI:IPI00005198.2,ILF2,Interleukin enhancer-binding factor 2,7,91,60,15,50,77,18,80,93,19,17
IPI:IPI00005260.4,PSME4,Isoform 1 of Proteasome activator complex subunit 4,3,2,0,0,2,2,0,0,0,3,0
IPI:IPI00005264.1,PKP2,Isoform 2 of Plakophilin-2,5,15,29,2,2,25,11,0,22,4,11
IPI:IPI00005347.3,ZRANB1,Ubiquitin thioesterase ZRANB1,1,6,0,0,0,0,1,0,1,0,0
IPI:IPI00005367.1,PRKAG2,Isoform A of 5'-AMP-activated protein kinase subunit gamma-2,1,17,4,2,6,6,1,0,9,4,0
IPI:IPI00005416.5,UBAP2L,NICE-4 protein (Fragment),1,9,5,1,3,5,4,2,6,8,8
IPI:IPI00005465.1,TSPYL2,Testis-specific Y-encoded-like protein 2,1,0,0,1,1,1,5,2,2,0,0
IPI:IPI00005490.1,GOLPH3,Golgi phosphoprotein 3,1,1,0,0,0,0,0,0,0,0,0
IPI:IPI00005492.2,WDR5,WD repeat-containing protein 5,1,0,0,0,0,0,1,0,0,0,0
IPI:IPI00005495.3,ATXN3,Isoform 1 of Ataxin-3,5,121,93,15,136,135,24,115,102,63,27
IPI:IPI00005529.3,MAGEF1,Melanoma-associated antigen F1,4,14,30,2,5,19,3,0,16,22,0
IPI:IPI00005531.1,APOBEC3B,Isoform 1 of Probable DNA dC->dU-editing enzyme APOBEC-3B,1,2,5,0,1,0,0,5,5,0,0
IPI:IPI00005539.4,TERF1,Isoform 1 of Telomeric repeat-binding factor 1,1,6,13,0,0,17,6,0,8,5,0
IPI:IPI00005541.1,PMS1,PMS1 protein homolog 1,4,0,0,0,0,7,0,0,0,0,0
IPI:IPI00005559.1,NOD2,Isoform 1 of Nucleotide-binding oligomerization domain-containing protein 2,1,0,0,0,0,0,1,0,0,0,0
IPI:IPI00005573.3,NT5C,"Isoform 1 of 5'(3')-deoxyribonucleotidase, cytosolic type",2,4,6,0,0,4,0,0,4,0,0
IPI:IPI00005577.5,IFIH1,Isoform 1 of Interferon-induced helicase C domain-containing protein 1,1,0,0,0,0,0,0,0,0,0,6
IPI:IPI00005578.1,EHD4,EH domain-containing protein 4,3,13,3,1,0,2,3,3,0,5,0
IPI:IPI00005614.6,SPTBN1,"Isoform Long of Spectrin beta chain, brain 1",4,0,0,0,0,5,0,7,2,0,0
IPI:IPI00005615.1,TIAL1,Nucleolysin TIAR,1,0,0,0,0,0,1,0,0,0,0
IPI:IPI00005634.3,TTC37,Tetratricopeptide repeat protein 37,1,0,0,0,0,0,0,0,0,0,17
IPI:IPI00005648.1,SAFB2,Scaffold attachment factor B2,1,0,0,0,6,0,0,1,0,0,0
IPI:IPI00005656.1,RGL2,Ral guanine nucleotide dissociation stimulator-like 2,1,2,0,0,0,3,0,0,6,0,0
IPI:IPI00005661.1,MLX,Isoform Gamma of Max-like protein X,1,9,4,0,0,5,0,0,4,0,0
IPI:IPI00005667.4,N4BP1,NEDD4-binding protein 1,1,0,0,0,4,0,0,0,0,0,0
IPI:IPI00005670.6,CDC123,Cell division cycle protein 123 homolog,8,24,27,0,5,20,4,10,15,2,8
IPI:IPI00005685.2,PNMA1,Paraneoplastic antigen Ma1,8,35,18,0,11,19,6,0,12,5,2
IPI:IPI00005695.1,NDUFA1,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 1,1,23,12,2,19,7,4,5,11,11,0
IPI:IPI00005700.4,CEP57,Isoform 2 of Centrosomal protein of 57 kDa,1,1,0,0,0,0,0,0,0,0,0
IPI:IPI00005705.1,PPP1CC,Isoform Gamma-1 of Serine/threonine-protein phosphatase PP1-gamma catalytic subunit,8,49,45,2,7,21,18,0,17,19,27
IPI:IPI00005707.6,MRC2,C-type mannose receptor 2,1,0,0,0,0,0,0,1,0,0,0
IPI:IPI00005711.4,HDAC6,"cDNA FLJ56474, highly similar to Histone deacetylase 6",1,3,3,0,0,3,0,0,3,0,0
IPI:IPI00005715.5,UBE4B,Isoform 1 of Ubiquitin conjugation factor E4 B,10,74,61,2,42,48,32,41,45,24,0
IPI:IPI00005716.3,VDR,Vitamin D3 receptor,1,1,1,0,0,1,0,0,1,0,0
IPI:IPI00005719.1,RAB1A,Isoform 1 of Ras-related protein Rab-1A,4,25,26,7,20,37,22,71,32,18,2
IPI:IPI00005724.1,LANCL1,LanC-like protein 1,3,7,6,0,1,6,2,16,16,0,0
IPI:IPI00005728.2,RER1,RER1 protein,1,1,0,0,0,0,0,0,0,0,0
IPI:IPI00005731.2,BMPR1A,Bone morphogenetic protein receptor type-1A,1,1,0,0,0,0,0,0,0,0,0
IPI:IPI00005733.1,TGFBR1,TGF-beta receptor type-1,2,36,40,0,35,48,8,62,45,3,0
IPI:IPI00005737.1,SURF4,Isoform 1 of Surfeit locus protein 4,3,73,46,0,13,43,9,0,59,28,7
IPI:IPI00005740.1,COX4NB,Neighbor of COX4,2,27,18,5,9,15,2,8,22,3,0
IPI:IPI00005741.1,MAPK13,Mitogen-activated protein kinase 13,1,0,0,1,0,0,0,0,1,0,0
IPI:IPI00005745.1,SPTLC1,Serine palmitoyltransferase 1,9,60,51,13,23,58,25,44,66,28,0
IPI:IPI00005751.1,SPTLC2,Serine palmitoyltransferase 2,1,2,2,0,0,2,0,0,2,0,0
IPI:IPI00005769.1,FANCG,Fanconi anemia group G protein,1,3,0,0,0,1,0,0,0,0,0
IPI:IPI00005774.5,LRP8,Isoform 1 of Low-density lipoprotein receptor-related protein 8,1,10,21,3,3,12,0,4,12,15,0
IPI:IPI00005780.3,OGT,Isoform 3 of UDP-N-acetylglucosamine--peptide N-acetylglucosaminyltransferase 110 kDa subunit,7,81,50,8,82,44,33,49,39,26,12
IPI:IPI00005782.1,PPM1D,Protein phosphatase 1D,2,0,0,0,0,3,0,1,0,0,0
IPI:IPI00005789.2,PIAS3,E3 SUMO-protein ligase PIAS3,1,2,5,0,0,2,0,0,2,0,0
IPI:IPI00005791.1,NDC80,Kinetochore protein NDC80 homolog,6,10,2,3,4,21,4,0,15,2,0
IPI:IPI00005792.2,PABPN1,Isoform 1 of Polyadenylate-binding protein 2,3,28,0,1,15,1,2,0,11,27,0
IPI:IPI00005822.2,CDC23,cell division cycle protein 23,7,15,9,3,2,15,4,0,10,6,0
IPI:IPI00005826.1,HERC2,Probable E3 ubiquitin-protein ligase HERC2,2,0,0,0,0,4,3,0,0,0,0
IPI:IPI00005836.3,PIAS2,Isoform PIAS2-beta of E3 SUMO-protein ligase PIAS2,1,2,2,0,0,2,0,0,2,0,0
IPI:IPI00005846.2,STEAP1,Similar to Six transmembrane epithelial antigen of prostate,3,1,1,0,0,6,0,23,7,1,0
IPI:IPI00005859.5,KRT75,"Keratin, type II cytoskeletal 75",3,130,95,21,71,88,21,70,100,33,0
IPI:IPI00005881.3,ATG12,APG12 autophagy 12-like,3,93,37,12,109,48,18,40,49,14,1
IPI:IPI00005914.4,SHPK,Sedoheptulokinase,1,30,22,1,10,30,2,1,17,0,0
IPI:IPI00005966.6,NDUFA12,13kDa differentiation-associated protein variant (Fragment),1,2,0,0,0,0,0,0,0,0,0
IPI:IPI00005969.3,CAPZA1,F-actin-capping protein subunit alpha-1,8,50,44,3,6,25,12,0,28,10,0
IPI:IPI00005978.8,SFRS2,"Splicing factor, arginine/serine-rich 2",1,0,0,0,0,0,3,0,0,0,0
IPI:IPI00005979.2,EIF2B4,Isoform 1 of Translation initiation factor eIF-2B subunit delta,2,6,0,3,3,6,1,0,0,0,1
IPI:IPI00005996.1,HMGA2,High mobility group protein HMGI-C,1,0,0,0,6,0,0,0,0,0,0
IPI:IPI00006025.1,SART3,Isoform 1 of Squamous cell carcinoma antigen recognized by T-cells 3,1,0,0,0,0,0,2,0,0,0,0
IPI:IPI00006038.4,NUP98,Isoform 1 of Nuclear pore complex protein Nup98-Nup96,9,24,25,1,33,26,21,24,29,8,0
IPI:IPI00006050.4,FAM115A,Isoform 1 of Protein FAM115A,9,113,58,11,38,47,23,32,51,17,0
IPI:IPI00006052.3,PFDN2,Prefoldin subunit 2,7,22,16,1,18,38,13,67,26,5,0
IPI:IPI00006064.4,TBKBP1,Isoform 1 of TANK-binding kinase 1-binding protein,1,2,0,0,0,0,2,0,0,0,0
IPI:IPI00006079.1,BCLAF1,Isoform 1 of Bcl-2-associated transcription factor 1,1,0,0,0,0,1,0,0,0,0,0
IPI:IPI00006091.2,DMD,Isoform 4 of Dystrophin,1,3,4,0,7,6,2,8,5,0,0
IPI:IPI00006092.1,PMM2,Phosphomannomutase 2,2,4,0,1,1,0,4,0,0,0,0
IPI:IPI00006096.1,KIAA0586,Uncharacterized protein KIAA0586,1,2,0,0,0,0,0,0,0,0,0
IPI:IPI00006099.1,BMS1,Ribosome biogenesis protein BMS1 homolog,4,5,3,1,3,15,10,0,6,0,0
IPI:IPI00006109.3,MAD2L2,Mitotic spindle assembly checkpoint protein MAD2B,2,0,2,0,0,0,0,0,0,0,0
IPI:IPI00006115.1,DAZAP2,DAZ-associated protein 2,1,15,4,1,13,28,0,23,12,22,23
IPI:IPI00006148.1,MKRNP5,Putative makorin-4,1,38,20,0,12,16,8,3,25,6,0
IPI:IPI00006160.1,TP73,Isoform Alpha of Tumor protein p73,1,0,0,0,0,1,0,0,0,0,0
IPI:IPI00006167.1,PPM1G,Protein phosphatase 1G,6,112,95,0,89,91,28,55,71,19,2
IPI:IPI00006170.2,FANCA,Isoform 1 of Fanconi anemia group A protein,11,81,49,13,28,45,3,0,65,31,0
IPI:IPI00006176.3,HGS,Isoform 1 of Hepatocyte growth factor-regulated tyrosine kinase substrate,20,329,182,24,417,345,62,413,294,44,3
IPI:IPI00006181.1,EIF3D,Eukaryotic translation initiation factor 3 subunit D,8,21,9,1,9,22,5,5,21,2,2
IPI:IPI00006184.1,SLC16A5,Monocarboxylate transporter 6,2,1,0,3,0,0,0,4,0,0,0
IPI:IPI00006196.3,NUMA1,Isoform 2 of Nuclear mitotic apparatus protein 1,7,27,27,0,34,61,12,64,25,0,0
IPI:IPI00006205.1,SLC33A1,Acetyl-coenzyme A transporter 1,1,9,11,0,1,5,2,0,8,0,0
IPI:IPI00006210.2,BIRC5,Isoform 1 of Baculoviral IAP repeat-containing protein 5,1,1,0,0,0,0,0,0,0,0,0
IPI:IPI00006211.4,VAPB,Isoform 1 of Vesicle-associated membrane protein-associated protein B/C,2,1,0,0,4,5,0,2,2,0,0
IPI:IPI00006213.3,PCM1,Isoform 1 of Pericentriolar material 1 protein,37,326,242,15,189,237,95,230,293,89,0
IPI:IPI00006217.2,GRIN2D,Glutamate [NMDA] receptor subunit epsilon-4,6,53,50,5,21,20,6,0,27,19,0
IPI:IPI00006250.4,DHRS3,Isoform 1 of Short-chain dehydrogenase/reductase 3,3,70,77,1,36,85,52,51,51,47,0
IPI:IPI00006280.4,SCAP,Isoform 1 of Sterol regulatory element-binding protein cleavage-activating protein,2,17,19,2,5,10,1,0,3,15,0
IPI:IPI00006283.3,TAOK2,Isoform 2 of Serine/threonine-protein kinase TAO2,1,0,0,0,0,0,2,0,0,0,0
IPI:IPI00006362.1,EDF1,Isoform 2 of Endothelial differentiation-related factor 1,1,2,3,0,0,2,0,0,2,0,0
IPI:IPI00006377.4,POMP,Proteasome maturation protein,5,75,76,0,27,55,10,0,47,41,12
IPI:IPI00006379.1,NOP58,Nucleolar protein 58,3,2,0,1,0,4,1,0,4,8,1
IPI:IPI00006395.1,GNAL,Guanine nucleotide-binding protein G(olf) subunit alpha,4,84,84,9,27,53,8,0,49,15,28
IPI:IPI00006408.4,NOSIP,Nitric oxide synthase-interacting protein,1,1,0,0,5,0,9,0,0,0,0
IPI:IPI00006419.7,DPH5,Isoform 2 of Diphthine synthase,3,2,0,0,1,2,1,0,0,0,0
IPI:IPI00006433.6,DNAJC16,Isoform 1 of DnaJ homolog subfamily C member 16,2,1,1,0,0,3,1,0,1,0,0
IPI:IPI00006437.2,HMGB3L1,High mobility group protein B3-like-1,3,0,0,0,2,4,0,2,0,0,0
IPI:IPI00006438.1,ERGIC3,Isoform 1 of Endoplasmic reticulum-Golgi intermediate compartment protein 3,4,41,20,0,9,25,5,4,16,12,4
IPI:IPI00006440.6,MRPS7,"28S ribosomal protein S7, mitochondrial",4,0,4,0,0,0,0,0,1,0,0
IPI:IPI00006442.1,COIL,Coilin,1,8,9,1,0,8,6,0,7,6,0
IPI:IPI00006443.3,CRYL1,Isoform 1 of Lambda-crystallin homolog,1,1,0,0,0,0,0,0,0,0,0
IPI:IPI00006451.6,NSF,Vesicle-fusing ATPase,1,1,0,0,0,2,2,0,1,0,0
IPI:IPI00006471.3,MELK,Maternal embryonic leucine zipper kinase,10,51,39,5,10,54,10,0,36,9,0
IPI:IPI00006475.3,UBE2D4,Ubiquitin-conjugating enzyme E2 D4,1,14,0,0,36,6,10,11,3,1,0
IPI:IPI00006482.1,ATP1A1,Isoform Long of Sodium/potassium-transporting ATPase subunit alpha-1,24,228,161,39,142,234,45,318,247,118,17
IPI:IPI00006498.2,DAZ2,Isoform 1 of Deleted in azoospermia protein 2,8,0,0,0,0,0,0,0,0,0,117
IPI:IPI00006499.8,KIAA0753,Isoform 1 of Uncharacterized protein KIAA0753,7,29,32,1,7,12,4,0,19,12,0
IPI:IPI00006501.3,DAZ3,Deleted in azoospermia protein 3,8,0,0,0,0,0,0,0,0,0,117
IPI:IPI00006504.3,EIF2B3,Isoform 1 of Translation initiation factor eIF-2B subunit gamma,1,0,0,0,0,0,0,0,0,0,2
IPI:IPI00006510.1,TUBB1,Tubulin beta-1 chain,1,0,0,5,0,7,0,64,12,0,28
IPI:IPI00006516.1,UNG,Isoform 1 of Uracil-DNA glycosylase,2,3,0,0,0,3,0,0,2,0,0
IPI:IPI00006533.2,WIPI2,Isoform 3 of WD repeat domain phosphoinositide-interacting protein 2,3,4,7,0,0,9,0,0,8,1,0
IPI:IPI00006535.3,IFT52,Intraflagellar transport protein 52 homolog,1,6,4,0,0,3,0,0,3,0,0
IPI:IPI00006547.4,ITFG1,T-cell immunomodulatory protein,1,1,4,0,0,1,0,0,2,0,0
IPI:IPI00006552.2,CNOT7,CCR4-NOT transcription complex subunit 7,1,19,23,2,19,9,2,0,16,22,0
IPI:IPI00006557.8,PJA2,Isoform 1 of E3 ubiquitin-protein ligase Praja2,2,57,26,0,23,24,9,90,29,0,0
IPI:IPI00006558.3,SH3GLB1,Isoform 1 of Endophilin-B1,1,0,0,0,0,0,2,0,0,0,0
IPI:IPI00006579.1,COX4I1,"Cytochrome c oxidase subunit 4 isoform 1, mitochondrial",3,8,0,0,0,3,0,0,0,0,0
IPI:IPI00006608.1,APP,Isoform APP770 of Amyloid beta A4 protein (Fragment),2,62,38,0,17,27,5,37,28,1,0
IPI:IPI00006653.2,ATP2C2,Isoform 1 of Calcium-transporting ATPase type 2C member 2,1,0,0,0,0,3,0,4,1,0,0
IPI:IPI00006663.1,ALDH2,"Aldehyde dehydrogenase, mitochondrial",2,8,4,2,1,9,8,0,2,0,0
IPI:IPI00006666.1,SLC16A3,Monocarboxylate transporter 4,5,161,98,14,147,161,27,258,124,69,0
IPI:IPI00006671.3,ZBTB5,Zinc finger and BTB domain-containing protein 5,1,0,1,0,0,0,0,0,0,0,0
IPI:IPI00006674.1,ABCC3,Isoform 3 of Canalicular multispecific organic anion transporter 2,9,51,19,9,39,34,3,35,28,19,0
IPI:IPI00006675.2,ABCC4,Isoform 1 of Multidrug resistance-associated protein 4,20,145,161,14,95,136,50,143,147,71,0
IPI:IPI00006680.2,FAM13A,"family with sequence similarity 13, member A1 isoform a",1,1,6,0,0,3,0,0,2,4,0
IPI:IPI00006702.4,PELP1,"cDNA FLJ56414, highly similar to Homo sapiens proline-, glutamic acid-, leucine-rich protein 1 (PELP1), mRNA",1,1,0,0,0,0,0,0,0,0,0
IPI:IPI00006713.1,DNAJC3,Isoform 1 of DnaJ homolog subfamily C member 3,3,2,0,0,0,4,5,0,0,0,0
IPI:IPI00006715.3,RAD21,Double-strand-break repair protein rad21 homolog,11,89,114,2,40,97,37,85,123,62,0
IPI:IPI00006721.4,OPA1,"Isoform 1 of Dynamin-like 120 kDa protein, mitochondrial",2,0,3,0,0,1,0,0,0,0,0
IPI:IPI00006726.1,MAGEB2,Melanoma-associated antigen B2,7,108,48,4,46,80,33,61,45,4,15
IPI:IPI00006737.1,MAGEB4,Melanoma-associated antigen B4,1,3,0,0,2,0,1,11,4,0,3
IPI:IPI00006752.2,MAP4K4,Isoform 1 of Mitogen-activated protein kinase kinase kinase kinase 4,1,0,0,2,0,0,0,0,0,0,0
IPI:IPI00006754.1,WDR68,WD repeat-containing protein 68,3,67,41,2,95,52,38,59,40,40,2
IPI:IPI00006762.3,GNAS,Guanine nucleotide-binding protein Gs alpha subunit isoform L2,1,10,7,0,5,2,3,0,2,0,0
IPI:IPI00006800.3,ATG5,Isoform Long of Autophagy protein 5,2,2,0,0,0,0,0,0,0,0,0
IPI:IPI00006865.3,SEC22B,Vesicle-trafficking protein SEC22b,4,48,35,1,21,34,5,26,30,4,5
IPI:IPI00006876.2,IER2,Immediate early response gene 2 protein,2,28,3,1,17,17,0,13,25,40,0
IPI:IPI00006900.1,UTP3,Something about silencing protein 10,3,9,4,0,5,11,1,1,6,5,0
IPI:IPI00006904.1,AVEN,Cell death regulator Aven,1,0,0,0,0,0,0,0,0,0,3
IPI:IPI00006906.3,C12orf4,Uncharacterized protein C12orf4,4,1,1,2,0,1,5,0,1,0,0
